Starting Contagion E2E Simulator...
Network Topology: 55 total nodes (50 honest, 5 byzantine)
Injecting broadcast bc2aecc7-ea57-44a0-8089-1983f7202e2c via honest node 302a3005...
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
Injecting broadcast d05c0e4a-ad38-4e98-9332-b94976437845 via honest node 302a3005...
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
