Starting Contagion E2E Simulator...
Network Topology: 55 total nodes (50 honest, 5 byzantine)
Injecting broadcast fb49f929-0081-401c-8c2a-14e29a639b68 via honest node 302a3005...
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
Injecting broadcast 09905893-8f13-4dda-aa93-dab25b542314 via honest node 302a3005...
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 3 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
[MUX] 302a3005 -> 1 targets via :send-gossip
Injecting broadcast 6aab86ac-2215-4e37-921b-0a95b13c3884 via honest node 302a3005...
